Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,I'd like some walking paths away from car traffic  Not have the city feel divided - North from South,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,create walkable bikable streets in santa monica like virginia ave corrider to connect w/ light rail,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Daily I-10 Freeway traffic - Eastbound & Westbound!    Saturdays I-405 Freeway Southbound traffic!,Transport,Congestion,,,,,,,,,,,,,,
2015,Make more bike routes particularly the proposed bike bridge on 7th St. going over the 10 freeway.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"I know you're working on this, but even more bike lanes!!! Great job on the expo line. Thanks!!!",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Maintain BBB service to meet the needs of the community of bus riders who live in Santa Monica.,Transport,Public transport,,,,,,,,,,,,,,
2015,"Have less cars and rely more on walking, riding bike, skateboarding, and public transportation.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Less traffic. More monitoring of vehicle speeding by the police, esp after school and at night.",Transport,Congestion,,,,,,,,,,,,,,
2015,Safer for our kids to ride bikes to the beach.  The streets now are just too busy and crowded.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,teach drivers to watch for bicyclist and teach construction sites to clean up mud and nails,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Parking and traffic congestion prevents me from fully accessing Santa Monica's offerings.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Better bike paths, especially eastward into LA, but also north-south within Santa Monica",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,CUT TRAFFIC !!  and plan for the people that have been living in Santa Monica !!!!!!!!!,Transport,Congestion,,,,,,,,,,,,,,
2015,Hoping the metro will help with the traffic here in Santa Monica - it's getting worse.,Transport,Congestion,,,,,,,,,,,,,,
2015,Rely less on my car and walk/bike around town when I am visiting local destinations.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Reduce traffic noise; excessive speeding and acceleration from stop signs and lights,Transport,Congestion,,,,,,,,,,,,,,
2015,Limit the number of cars/traffic & the building of big parking lots in this town.,Transport,Congestion,,,,,,,,,,,,,,
2015,"streets should be designed for people and for community, not for cars and speed",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Traffic and public parking for residents and visitors. Not enough free parking!,Transport,Congestion,,,,,,,,,,,,,,
2015,Parking! It is a primary reason I don't patronize local businesses more often.,Transport,Parking,,,,,,,,,,,,,,
2015,traffic reduction. There are too many cars ... streets too busy with traffic.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Nothing.  Besides controlling traffic in the neighborhood, and a train to LAX",Transport,Congestion,,,,,,,,,,,,,,
2015,LESS TRAFFIC.  I also would LOVE to work at Rand Corporation.  Love you guys!,Transport,Congestion,,,,,,,,,,,,,,
2015,Too many businesses coming to Santa Monica making the traffic too congested.,Transport,Congestion,,,,,,,,,,,,,,
2015,there is far too much traffic in santa monica now for a good quality of life,Transport,Congestion,,,,,,,,,,,,,,
2015,"Increase options for transit, biking, and walking throughout the community.",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,I would like the traffic to slow down on all the streets in my neighborhood,Transport,Address dangerous driving/speeding,,,,,,,,,,,,,,
2015,TRAFFIC is increasingly a problem and diminishes the quality of life in SM,Transport,Congestion,,,,,,,,,,,,,,
2015,Encourage Santa Monica to stop constantly giving massive parking tickets.,Transport,Parking,,,,,,,,,,,,,,
2015,Put speed bumps and crosswalks on 3rd street between Pico and Ocean Park.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Walk more and bike more (making it a bit safer for others to do the same),Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Traffic. I have to carefully plan my day to avoid being stuck in traffic.,Transport,Congestion,,,,,,,,,,,,,,
2015,Expo Line! With convenient connections from other parts of Santa Monica.,Transport,Public transport,,,,,,,,,,,,,,
2015,Improve auto traffic conditions and speed up the building of the subway,Transport,Congestion,,,,,,,,,,,,,,
2015,"More city amenities like bars, art, food, etc. More bike infrastructure",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Have no car days enforced in the city - only walking, biking or buses!",Transport,Congestion,,,,,,,,,,,,,,
2015,have safer bike lanes and more pedestrian walkways away from traffic.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"traffic is terrible, it is very stressful to drive aound Santa Monica",Transport,Congestion,,,,,,,,,,,,,,
2015,"Excited about the expo line. After that, more north-south rail lines!",Transport,Public transport,,,,,,,,,,,,,,
2015,"Even more access to public transportation, and bicycle infrastructure",Transport,Public transport,,,,,,,,,,,,,,
2015,reduce traffic!   it deters me from doing many things i'd like to do.,Transport,Congestion,,,,,,,,,,,,,,
2015,Reduce traffic congestion and trim trees on streets more frequently,Transport,Congestion,,,,,,,,,,,,,,
2015,"traffic congestion, and the high salaries of SM city administrators",Transport,Congestion,,,,,,,,,,,,,,
2015,More safe bike lanes that allow you to easily get around the city.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,decrease traffic congestion in both residential and business areas,Transport,Congestion,,,,,,,,,,,,,,
2015,reduce traffic by having incentives for businesses to hire locals,Transport,Congestion,,,,,,,,,,,,,,
2015,I'd like to influence the amount of traffic in the downtown area.,Transport,Congestion,,,,,,,,,,,,,,
2015,"Reduce car traffic, particularly in my residential neighborhood",Transport,Congestion,,,,,,,,,,,,,,
2015,more bike/pedestrian only streets (e.g. 3rd street promenade),Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Encourage more walking in my neighborhood (Pico Neighborhood),Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Reduce speeding cars, reduce noisy vehicles and motorcycles,",Transport,Congestion,,,,,,,,,,,,,,
2015,Extend the Big Blue Bus #2 back to Hill St and down Main St.,Transport,Public transport,,,,,,,,,,,,,,
2015,Reduce traffic so we can ride bikes more in the neighborhood,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Better connection to rest of city thru Metro/Rapid transit.,Transport,Public transport,,,,,,,,,,,,,,
2015,"Have safer side walks, without skateboards and bike riders",Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,figure out a solution for the horrendous traffic problems.,Transport,Congestion,,,,,,,,,,,,,,
2015,Angle parking on 9th Street between Wilshire and Arizona.,Transport,Parking,,,,,,,,,,,,,,
2015,Buy a bike to avoid traffic and parking at the Promenade.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,Minimize traffic in downtown Santa Monica and buy a home.,Transport,Congestion,,,,,,,,,,,,,,
2015,Get more people out on their bikes and out of their cars.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
2015,"Reduce the traffic, particularly around the downtown area",Transport,Congestion,,,,,,,,,,,,,,
2015,Find a way to decrease traffic and constant construction,Transport,Congestion,,,,,,,,,,,,,,
2015,"Encourage residents to become ""kinder, gentler"" drivers.",Transport,Address dangerous driving/speeding,,,,,,,,,,,,,,
2015,the traffic problems in santa monica....increased crowds,Transport,Congestion,,,,,,,,,,,,,,
2015,Improve heavy rail access and public transit generally.,Transport,Public transport,,,,,,,,,,,,,,
2015,More bike lanes!  Allow medical marijuana dispensaries.,Transport,Improved infrastructure for cycling/pedestrians,,,,,,,,,,,,,,
